gsid,name,ticker
75154,Carnival Corp,CCL
193067,Lumber Liquidators Holdings,LL
902608,Check Point Software Tech,CHKP
85627,Sonic Automotive Inc-Class A,SAH
13901,Altria Group Inc,MO
150407,Wynn Resorts LTD,WYNN
161467,Salesforce.com Inc,CRM
82598,Netapp Inc,NTAP
11896,Maxim Integrated Products,MXIM
177256,Mastercard Inc - A,MA
49154,Target Corp,TGT
76605,Autozone Inc,AZO
173578,Verifone Systems Inc,PAY
85914,Best Buy Co Inc,BBY
75100,Tiffany & Co,TIF
149756,Netflix Inc,NFLX
213305,Tesla Inc,TSLA
79758,Boyd Gaming Corp,BYD
69796,Constellation Brands Inc-A,STZ
81116,Veeco Instruments Inc,VECO
76226,CBS Corp-Class B Non Voting,CBS
80791,Adtran Inc,ADTN
152963,Seagate Technology,STX
197235,Visa Inc-Class A Shares,V
227284,Facebook Inc-Class A,FB
222946,Groupon Inc,GRPN
25022,Comcast Corp-Class A,CMCSA
61621,Paychex Inc,PAYX
902704,Flex LTD,FLEX
216587,Fleetcor Technologies Inc,FLT
901237,Juniper Networks Inc,JNPR
80286,Tractor Supply Company,TSCO
77659,Bed Bath & Beyond Inc,BBBY
15579,Texas Instruments Inc,TXN
16600,Hershey Co/the,HSY
216722,General Motors Co,GM
75573,Office Depot Inc,ODP
53065,Interpublic Group of Cos Inc,IPG
84769,Amphenol Corp-CL A,APH
46922,Rite Aid Corp,RAD
13936,PVH Corp,PVH
193155,Vmware Inc-Class A,VMW
91556,Ross Stores Inc,ROST
64064,Costco Wholesale Corp,COST
79265,Flir Systems Inc,FLIR
151048,Dick's Sporting Goods Inc,DKS
176665,Expedia Group Inc,EXPE
46886,Kla-Tencor Corp,KLAC
183414,First Solar Inc,FSLR
70500,Coca-Cola European Partners,CCEP
16432,Goodyear Tire & Rubber Co,GT
86196,Ultimate Software Group Inc,ULTI
11308,Coca-Cola Co/the,KO
55976,Walmart Inc,WMT
188804,Infinera Corp,INFN
26825,Kellogg Co,K
183269,Shutterfly Inc,SFLY
172890,Wex Inc,WEX
905288,Global Payments Inc,GPN
29209,Arrow Electronics Inc,ARW
10516,Archer-Daniels-Midland Co,ADM
75607,Symantec Corp,SYMC
16678,Kroger Co,KR
44644,Automatic Data Processing,ADP
223416,Zynga Inc - CL A,ZNGA
26403,Walt Disney Co/the,DIS
59248,Molson Coors Brewing Co -B,TAP
78975,Intuit Inc,INTU
78045,Magna International Inc,MGA
12490,Intl Business Machines Corp,IBM
40539,TJX Companies Inc,TJX
198025,Dana Inc,DAN
10696,Fiserv Inc,FISV
22293,Corning Inc,GLW
66384,Western Digital Corp,WDC
85517,Choice Hotels Intl Inc,CHH
217708,Cornerstone Ondemand Inc,CSOD
79145,Royal Caribbean Cruises LTD,RCL
85631,Autodesk Inc,ADSK
86356,Ebay Inc,EBAY
905255,Garmin LTD,GRMN
14593,Apple Inc,AAPL
85072,Ralph Lauren Corp,RL
188329,Cinemark Holdings Inc,CNK
148401,Regal Entertainment Group-A,RGC
202271,Broadcom Inc,AVGO
194688,Ulta Beauty Inc,ULTA
86372,Cgi Group Inc - Class A,GIB
84275,United Natural Foods Inc,UNFI
230958,Workday Inc-Class A,WDAY
59010,Gap Inc/the,GPS
226278,Michael Kors Holdings LTD,KORS
903917,Akamai Technologies Inc,AKAM
18163,Procter & Gamble Co/the,PG
46578,Clorox Company,CLX
18729,Colgate-Palmolive Co,CL
17750,Kimberly-Clark Corp,KMB
193324,Lululemon Athletica Inc,LULU
53613,Micron Technology Inc,MU
905632,Alliance Data Systems Corp,ADS